133	6325792.36	586212.48	809408.32	0.00	7721413.16
134	6541453.17	640361.12	678364.96	0.00	7860179.25
135	6417993.13	430816.96	481531.68	0.00	7330341.77
136	6519674.52	310449.44	225879.36	0.00	7056003.32
137	6642940.28	605892.00	679943.04	0.00	7928775.32
138	6538323.12	859659.36	1073128.00	0.00	8471110.48
139	6454885.89	708162.56	710468.64	49553.28	7923070.37
140	6519135.29	864623.20	971972.96	0.00	8355731.45
141	8117350.84	42190.40	31242.40	0.00	8190783.64
142	8409471.74	835803.36	746128.32	0.00	9991403.42
143	7769134.72	126425.60	117815.04	0.00	8013375.36
144	8294494.75	1645912.80	1450058.40	42710.08	11433176.03
145	8011663.87	924953.12	713310.08	0.00	9649927.07
146	8268122.94	851159.68	773137.12	0.00	9892419.74
147	8092734.16	1738253.44	1613530.24	93287.04	11537804.88
148	8088812.56	1386370.72	1183922.88	8848.00	10667954.16
149	8345302.30	1983164.96	1942250.24	29541.12	12300258.62
150	8159141.14	229259.52	295860.32	0.00	8684260.98
